HOTEL_NAME,DIM_HOTEL_CITY,HOTEL_STARS_RATING,SUM(BASE_PRICE),SUM(TOTAL_ROOM_NIGHTS)
Opus Broadbeach,Broadbeach,4.0,265.35,1.0
Holiday Inn Express Hotel & Suites Tulsa S Broken Arrow Hwy 51,Broken Arrow,2.5,5668.24,52.0
Forenom Aparthotel Stockholm Bromma,Bromma,3.0,259.57,2.0
Hampton Inn Milwaukee Brookfield,Brookfield,2.5,6535.35,46.0
Blue Coast Inn and Suites,Brookings,2.0,152.28,2.0
Courtyard Brownsville,Brownsville,3.0,25484.07,147.0
B&B HOTEL Béthune Bruay-la-Buissière,BruaylaBuissiere,3.0,78.66,1.0
Hotel Landskron,Bruck An Der Mur,4.0,3878.37,32.0
Appart-Hôtel Mer & Golf City Bordeaux - Bruges,Bruges,3.0,2367.35,20.0
Value Stay Bruges,Bruges,2.0,54.41,1.0
ibis Styles Zeebrugge Hotel,Bruges,3.0,257.98,2.0
Hotel Bonprix,Bruhl,3.0,176.15,2.0
B&B HOTEL Braunschweig-City,Brunswick Braunschweig,3.0,352.48,5.0
Hotel Restaurant Jägerhof,Brunswick Braunschweig,3.0,520.26,5.0
IntercityHotel Braunschweig,Brunswick Braunschweig,4.0,1564.11,12.0
Pfälzer Hof,Brunswick Braunschweig,3.0,118.68,1.0
B&B HOTEL Braunschweig-City,Brunswick Braunschweig,2.0,528.1,6.0
Centerstay Brussels,Brussels,3.0,612.47,4.0
International Bucharest,Bucharest,4.0,1960.3,17.0
YMY Boutique Residence,Bucharest,4.0,2879.74,30.0
Fort Knox Park Inn,Bucksport,2.0,156.94,1.0
Stories Hotel Budapest,Budapest,4.0,6558.61,48.0
Clarion Congress Hotel Ceské Budejovice,Budweis,4.0,326.16,4.0
San Telmo Luxury Suites,Buenos Aires,3.5,1423.04,11.0
Byblos Palermo Soho,Buenos Aires,3.5,650.7,8.0
Libertad Hotel Buenos Aires,Buenos Aires,4.0,1271.74,8.0
Lenox Hotel and Suites,Buffalo,3.0,510.0,3.0
La Quinta Inn & Suites by Wyndham Buffalo Amherst,Buffalo,2.5,1413.01,14.0
Vangohh Eminent Hotel & Spa,Bukit Mertajam,5.0,274.58,4.0
Bunbury Motel And Apartments,Bunbury,3.5,3376.89,28.0
Villa Mirasol Motor Inn,Bundaberg,4.0,224.57,2.0
Aqua Hotel Burgas,Burgas,4.0,750.14,11.0
Fletcher Duinhotel Burgh Haamstede,BurghHaamstede,4.0,106.02,1.0
Sercotel Corona de Castilla,Burgos,4.0,57.41,1.0
Fairfield Inn & Suites Burley,Burley,2.5,6868.66,42.0
Hampton Inn Burley,Burley,2.5,40284.9,193.0
Holiday Inn Express Burlington,Burlington,2.5,6506.1,35.0
"Candlewood Suites Burlington Conference Centre, An Ihg Hotel",Burlington,2.5,480.8,4.0
Hilton Vancouver Metrotown,Burnaby,4.0,65904.44,257.0
South Pacific Resort,Burnt Pine,3.0,406.08,4.0
Gale Street Motel & Villas Busselton,Busselton,3.0,423.9,4.0
Wingate By Wyndham Butte City Center I-15/I-90,Butte,3.0,106.29,1.0
Wingate By Wyndham Butte City Center I-15/I-90,Butte,2.0,191.06,2.0
Aquarius Backpacker Resort,Byron Bay,2.5,917.31,6.0
Abbie's Byron Bay Villa,Byron Bay,5.0,121.49,1.0
Extremadura,Caceres,4.0,196.13,2.0
Marina di Castello,Cagliari,4.0,665.97,4.0
Inturotel Sa Marina,Cala dOr,4.5,643.49,4.0
The Anza A Calabasas Hotel,Calabasas,3.5,19303.41,136.0
Residenza San Matteo,Calenzano,3.0,267.88,3.0
First,Calenzano,4.0,206.53,2.0
Hampton Inn Calera,Calera,2.5,1931.29,13.0
Hotel Dann Carlton,Cali,3.5,522.47,6.0
La Quinta Inn & Suites by Wyndham Lexington Park - Patuxent,California,2.5,494.83,5.0
Villa Roma Resort Lodges,Callicoon,3.0,1364.66,6.0
Quality Inn Calvert City - Paducah East,Calvert City,2.5,537.56,8.0
Hotel Bonanza Park,Calvia,4.0,972.62,5.0
Rössle,Calw,0.0,463.66,4.0
Travelodge Camborne Redruth,Camborne,0.0,172.59,2.0
Fenners Hotel,Cambridge,2.0,145.83,2.0
Pousada Zama,Camburi,3.0,152.57,1.0
Camden Riverhouse Hotel,Camden,2.5,520.2,2.0
"Penn Harris Hotel, Trademark Collection by Wyndham",Camp Hill,3.5,1403.92,16.0
Courtyard San Jose Campbell,Campbell,3.0,587973.46,2229.0
Go Inn Campinas,Campinas,3.0,1201.95,18.0
Hotel Euro Suit Campinas,Campinas,3.0,30.44,1.0
Hotel BQ Apolo,Can Pastilla,4.0,303.92,2.0
Rydges Canberra,Canberra,4.0,3458.48,21.0
Krystal Urban Hotels Cancun Centro,Cancun,3.5,691.0,6.0
Paradisus Cancún,Cancun,4.5,4498.5,13.0
Hotel Arcea Los Lagos Nature,Cangas de Onis,3.0,98.54,1.0
Le Cavendish,Cannes,4.0,508.12,3.0
Novotel Suites Cannes Centre,Cannes,4.0,6092.26,24.0
Fairfield Inn & Suites Canton Riverstone Parkway,Canton,2.5,3577.3,24.0
La Quinta Inn by Wyndham Detroit Canton,Canton,2.5,4143.56,47.0
Modern Elegance Unwind In Style New Heated Pool Villa,Cape Coral,4.0,357.6,3.0
Drury Suites Cape Girardeau,Cape Girardeau,3.0,797.94,6.0
The Residences Crystal Towers,Cape Town,4.0,15597.93,177.0
The Capital 15 on Orange,Cape Town,4.0,16304.78,85.0
Hotel Verde,Cape Town,4.0,2196.78,19.0
